datasetId;startTime;endTime;value
247;2025-05-01T17:15:00.000Z;2025-05-01T17:30:00.000Z;69.5
247;2025-05-01T17:00:00.000Z;2025-05-01T17:15:00.000Z;91.9
247;2025-05-01T16:45:00.000Z;2025-05-01T17:00:00.000Z;131.6
247;2025-05-01T16:30:00.000Z;2025-05-01T16:45:00.000Z;163.2
247;2025-05-01T16:15:00.000Z;2025-05-01T16:30:00.000Z;194.9
247;2025-05-01T16:00:00.000Z;2025-05-01T16:15:00.000Z;226.6
247;2025-05-01T15:45:00.000Z;2025-05-01T16:00:00.000Z;260.1
247;2025-05-01T15:30:00.000Z;2025-05-01T15:45:00.000Z;294.5
247;2025-05-01T15:15:00.000Z;2025-05-01T15:30:00.000Z;329
247;2025-05-01T15:00:00.000Z;2025-05-01T15:15:00.000Z;363.4
247;2025-05-01T14:45:00.000Z;2025-05-01T15:00:00.000Z;403.2
247;2025-05-01T14:30:00.000Z;2025-05-01T14:45:00.000Z;437.5
247;2025-05-01T14:15:00.000Z;2025-05-01T14:30:00.000Z;471.9
247;2025-05-01T14:00:00.000Z;2025-05-01T14:15:00.000Z;506.2
247;2025-05-01T13:45:00.000Z;2025-05-01T14:00:00.000Z;546.3
247;2025-05-01T13:30:00.000Z;2025-05-01T13:45:00.000Z;573.1
247;2025-05-01T13:15:00.000Z;2025-05-01T13:30:00.000Z;600
247;2025-05-01T13:00:00.000Z;2025-05-01T13:15:00.000Z;626.8
247;2025-05-01T12:45:00.000Z;2025-05-01T13:00:00.000Z;644.1
247;2025-05-01T12:30:00.000Z;2025-05-01T12:45:00.000Z;661.1
247;2025-05-01T12:15:00.000Z;2025-05-01T12:30:00.000Z;678
247;2025-05-01T12:00:00.000Z;2025-05-01T12:15:00.000Z;694.9
247;2025-05-01T11:45:00.000Z;2025-05-01T12:00:00.000Z;707.9
247;2025-05-01T11:30:00.000Z;2025-05-01T11:45:00.000Z;717.3
247;2025-05-01T11:15:00.000Z;2025-05-01T11:30:00.000Z;726.7
247;2025-05-01T11:00:00.000Z;2025-05-01T11:15:00.000Z;736.2
247;2025-05-01T10:45:00.000Z;2025-05-01T11:00:00.000Z;740.2
247;2025-05-01T10:30:00.000Z;2025-05-01T10:45:00.000Z;749.3
247;2025-05-01T10:15:00.000Z;2025-05-01T10:30:00.000Z;749.3
247;2025-05-01T10:00:00.000Z;2025-05-01T10:15:00.000Z;740.2
247;2025-05-01T09:45:00.000Z;2025-05-01T10:00:00.000Z;736.7
247;2025-05-01T09:30:00.000Z;2025-05-01T09:45:00.000Z;726.4
247;2025-05-01T09:15:00.000Z;2025-05-01T09:30:00.000Z;716.1
247;2025-05-01T09:00:00.000Z;2025-05-01T09:15:00.000Z;705.7
247;2025-05-01T08:45:00.000Z;2025-05-01T09:00:00.000Z;689.7
247;2025-05-01T08:30:00.000Z;2025-05-01T08:45:00.000Z;671.3
247;2025-05-01T08:15:00.000Z;2025-05-01T08:30:00.000Z;653
247;2025-05-01T08:00:00.000Z;2025-05-01T08:15:00.000Z;634.7
247;2025-05-01T07:45:00.000Z;2025-05-01T08:00:00.000Z;610.6
